time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,1.0694e+07,20000,20000,5000,0,0,0
  1.00,1.0687e+07,23137,18844,9368.1,721.65,1.9322,0
  2.00,1.0681e+07,25492,18386,13127,1846,4.9425,0
  3.00,1.0674e+07,27379,18369,16474,3322.8,8.8969,0
  4.00,1.0667e+07,28995,18633,19537,5118,13.704,0
  5.00,1.0661e+07,30460,19080,22400,7207.7,19.299,0
  6.00,1.0654e+07,31849,19650,25119,9574.8,25.638,0
  7.00,1.0646e+07,33208,20308,27734,12207,32.687,0
  8.00,1.0639e+07,34567,21030,30274,15096,40.422,0
  9.00,1.0631e+07,35944,21804,32760,18235,48.828,0
 10.00,1.0623e+07,37352,22622,35209,21619,57.891,0
 11.00,1.0615e+07,38799,23478,37636,25246,67.604,0
 12.00,1.0606e+07,40289,24371,40050,29114,77.963,0
 13.00,1.0597e+07,41827,25300,42463,33222,88.964,0
 14.00,1.0588e+07,43416,26263,44884,37571,100.61,0
 15.00,1.0579e+07,45058,27263,47321,42161,112.9,0
 16.00,1.0569e+07,46755,28298,49780,46995,125.85,0
 17.00,1.0558e+07,48509,29369,52270,52075,139.46,0
 18.00,1.0547e+07,50322,30478,54796,57405,153.73,0
 19.00,1.0536e+07,52195,31625,57365,62988,168.68,0
 20.00,1.0525e+07,54131,32811,59981,68829,184.33,0
 21.00,1.0513e+07,56129,34038,62651,74933,200.68,0
 22.00,1.0501e+07,58193,35305,65379,81305,217.75,0
 23.00,1.0488e+07,60322,36615,68171,87953,235.55,0
 24.00,1.0474e+07,62519,37967,71031,94881,254.11,0
 25.00,1.0461e+07,64786,39364,73963,1.021e+05,273.44,0
 26.00,1.0446e+07,67122,40805,76972,1.0961e+05,293.57,0
 27.00,1.0432e+07,69530,42293,80062,1.1743e+05,314.5,0
 28.00,1.0416e+07,72011,43827,83236,1.2555e+05,336.27,0
 29.00,1.0401e+07,74565,45409,86499,1.34e+05,358.9,0
 30.00,1.0384e+07,77195,47039,89854,1.4278e+05,382.41,0
 31.00,1.0367e+07,79900,48719,93304,1.5189e+05,406.83,0
 32.00,1.035e+07,82683,50449,96854,1.6136e+05,432.19,0
 33.00,1.0332e+07,85543,52230,1.0051e+05,1.7118e+05,458.5,0
 34.00,1.0313e+07,88481,54063,1.0426e+05,1.8137e+05,485.8,0
 35.00,1.0294e+07,91498,55947,1.0813e+05,1.9194e+05,514.11,0
 36.00,1.0274e+07,94595,57885,1.1211e+05,2.029e+05,543.48,0
 37.00,1.0253e+07,97771,59876,1.162e+05,2.1426e+05,573.91,0
 38.00,1.0232e+07,1.0103e+05,61920,1.204e+05,2.2603e+05,605.46,0
 39.00,1.021e+07,1.0436e+05,64019,1.2473e+05,2.3823e+05,638.14,0
 40.00,1.0188e+07,1.0778e+05,66172,1.2918e+05,2.5086e+05,671.99,0
 41.00,1.0164e+07,1.1127e+05,68379,1.3375e+05,2.6395e+05,707.05,0
 42.00,1.014e+07,1.1485e+05,70641,1.3844e+05,2.7749e+05,743.33,0
 43.00,1.0115e+07,1.185e+05,72957,1.4327e+05,2.9151e+05,780.89,0
 44.00,1.009e+07,1.2223e+05,75328,1.4822e+05,3.0601e+05,819.75,0
 45.00,1.0064e+07,1.2603e+05,77752,1.533e+05,3.2102e+05,859.95,0
 46.00,1.0037e+07,1.2991e+05,80229,1.5851e+05,3.3653e+05,901.52,0
 47.00,1.0009e+07,1.3386e+05,82759,1.6385e+05,3.5257e+05,944.5,0
 48.00,9.9801e+06,1.3788e+05,85341,1.6933e+05,3.6915e+05,988.92,0
 49.00,9.9506e+06,1.4197e+05,87974,1.7494e+05,3.8628e+05,1034.8,0
 50.00,9.9204e+06,1.4612e+05,90657,1.8068e+05,4.0398e+05,1082.2,0
 51.00,9.8893e+06,1.5034e+05,93388,1.8655e+05,4.2225e+05,1131.2,0
 52.00,9.8574e+06,1.5461e+05,96166,1.9256e+05,4.4111e+05,1181.7,0
 53.00,9.8247e+06,1.5894e+05,98989,1.9869e+05,4.6058e+05,1233.9,0
 54.00,9.7911e+06,1.6332e+05,1.0186e+05,2.0495e+05,4.8066e+05,1287.7,0
 55.00,9.7567e+06,1.6775e+05,1.0476e+05,2.1135e+05,5.0138e+05,1343.2,0
 56.00,9.7214e+06,1.7222e+05,1.0771e+05,2.1786e+05,5.2273e+05,1400.5,0
 57.00,9.6853e+06,1.7673e+05,1.1069e+05,2.245e+05,5.4474e+05,1459.4,0
 58.00,9.6483e+06,1.8127e+05,1.1371e+05,2.3126e+05,5.6742e+05,1520.2,0
 59.00,9.6104e+06,1.8584e+05,1.1675e+05,2.3814e+05,5.9077e+05,1582.8,0
 60.00,9.5718e+06,1.9043e+05,1.1983e+05,2.4513e+05,6.1482e+05,1647.2,0
 61.00,9.5322e+06,1.9503e+05,1.2292e+05,2.5223e+05,6.3956e+05,1713.5,0
 62.00,9.4918e+06,1.9964e+05,1.2604e+05,2.5943e+05,6.6502e+05,1781.7,0
 63.00,9.4506e+06,2.0425e+05,1.2917e+05,2.6673e+05,6.912e+05,1851.9,0
 64.00,9.4086e+06,2.0885e+05,1.3232e+05,2.7412e+05,7.181e+05,1924,0
 65.00,9.3657e+06,2.1344e+05,1.3547e+05,2.816e+05,7.4575e+05,1998.1,0
 66.00,9.322e+06,2.18e+05,1.3862e+05,2.8915e+05,7.7415e+05,2074.2,0
 67.00,9.2776e+06,2.2253e+05,1.4177e+05,2.9678e+05,8.033e+05,2152.3,0
 68.00,9.2323e+06,2.2703e+05,1.4491e+05,3.0447e+05,8.3321e+05,2232.5,0
 69.00,9.1863e+06,2.3147e+05,1.4804e+05,3.1221e+05,8.6389e+05,2314.7,0
 70.00,9.1396e+06,2.3586e+05,1.5115e+05,3.2e+05,8.9534e+05,2399,0
 71.00,9.0921e+06,2.4018e+05,1.5424e+05,3.2782e+05,9.2757e+05,2485.4,0
 72.00,9.0439e+06,2.4442e+05,1.573e+05,3.3567e+05,9.6058e+05,2573.8,0
 73.00,8.995e+06,2.4858e+05,1.6032e+05,3.4354e+05,9.9437e+05,2664.4,0
 74.00,8.9455e+06,2.5265e+05,1.633e+05,3.5141e+05,1.0289e+06,2757.1,0
 75.00,8.8954e+06,2.5661e+05,1.6623e+05,3.5927e+05,1.0643e+06,2851.8,0
 76.00,8.8447e+06,2.6046e+05,1.6911e+05,3.6711e+05,1.1004e+06,2948.7,0
 77.00,8.7934e+06,2.6418e+05,1.7192e+05,3.7492e+05,1.1373e+06,3047.6,0
 78.00,8.7416e+06,2.6777e+05,1.7467e+05,3.8268e+05,1.175e+06,3148.6,0
 79.00,8.6892e+06,2.7123e+05,1.7735e+05,3.9039e+05,1.2135e+06,3251.7,0
 80.00,8.6365e+06,2.7453e+05,1.7994e+05,3.9802e+05,1.2527e+06,3356.8,0
 81.00,8.5832e+06,2.7767e+05,1.8246e+05,4.0556e+05,1.2927e+06,3464,0
 82.00,8.5296e+06,2.8065e+05,1.8487e+05,4.1301e+05,1.3334e+06,3573.1,0
 83.00,8.4757e+06,2.8346e+05,1.8719e+05,4.2034e+05,1.3749e+06,3684.2,0
 84.00,8.4214e+06,2.8608e+05,1.8941e+05,4.2754e+05,1.417e+06,3797.3,0
 85.00,8.3669e+06,2.8851e+05,1.9152e+05,4.346e+05,1.4599e+06,3912.2,0
 86.00,8.3122e+06,2.9075e+05,1.9351e+05,4.415e+05,1.5035e+06,4029.1,0
 87.00,8.2572e+06,2.9278e+05,1.9538e+05,4.4823e+05,1.5478e+06,4147.7,0
 88.00,8.2021e+06,2.9461e+05,1.9713e+05,4.5477e+05,1.5927e+06,4268.1,0
 89.00,8.147e+06,2.9622e+05,1.9874e+05,4.6111e+05,1.6382e+06,4390.2,0
 90.00,8.0917e+06,2.9762e+05,2.0023e+05,4.6724e+05,1.6844e+06,4514,0
 91.00,8.0365e+06,2.988e+05,2.0157e+05,4.7313e+05,1.7312e+06,4639.4,0
 92.00,7.9813e+06,2.9975e+05,2.0277e+05,4.7879e+05,1.7785e+06,4766.3,0
 93.00,7.9261e+06,3.0047e+05,2.0383e+05,4.8419e+05,1.8264e+06,4894.7,0
 94.00,7.8711e+06,3.0097e+05,2.0474e+05,4.8932e+05,1.8748e+06,5024.5,0
 95.00,7.8163e+06,3.0124e+05,2.055e+05,4.9417e+05,1.9237e+06,5155.7,0
 96.00,7.7616e+06,3.0128e+05,2.0611e+05,4.9874e+05,1.9731e+06,5288.1,0
 97.00,7.7072e+06,3.0108e+05,2.0656e+05,5.03e+05,2.0229e+06,5421.6,0
 98.00,7.6531e+06,3.0066e+05,2.0686e+05,5.0695e+05,2.0732e+06,5556.3,0
