time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.8175e+06,1000,1000,500,0,0,4.8829e+06
  1.00,5.8116e+06,1215.3,947.24,695.08,59.79,0.16008,4.8885e+06
  2.00,5.8056e+06,1382.9,936.78,864.2,137.6,0.36842,4.8942e+06
  3.00,5.7997e+06,1524.1,953.1,1018.3,231.43,0.61967,4.8998e+06
  4.00,5.7937e+06,1651.6,986.94,1164.2,340.16,0.91079,4.9054e+06
  5.00,5.7878e+06,1773.4,1032.8,1306.3,463.19,1.2402,4.9109e+06
  6.00,5.7818e+06,1894.4,1087.4,1447.5,600.31,1.6074,4.9165e+06
  7.00,5.7758e+06,2017.8,1148.8,1589.9,751.53,2.0123,4.9221e+06
  8.00,5.7698e+06,2145.5,1216.1,1734.9,917.05,2.4556,4.9277e+06
  9.00,5.7638e+06,2278.9,1288.7,1883.7,1097.2,2.938,4.9332e+06
 10.00,5.7578e+06,2419.1,1366.4,2037.1,1292.4,3.4606,4.9388e+06
 11.00,5.7517e+06,2566.9,1449.2,2196.1,1503.1,4.0249,4.9443e+06
 12.00,5.7456e+06,2722.9,1537,2361.3,1729.9,4.6324,4.9499e+06
 13.00,5.7394e+06,2887.7,1630.3,2533.5,1973.6,5.2849,4.9554e+06
 14.00,5.7333e+06,3061.9,1729,2713.4,2234.7,5.9843,4.9609e+06
 15.00,5.7271e+06,3246.1,1833.6,2901.6,2514.2,6.7328,4.9664e+06
 16.00,5.7209e+06,3440.9,1944.4,3098.9,2812.8,7.5326,4.9719e+06
 17.00,5.7146e+06,3646.8,2061.5,3306,3131.6,8.3864,4.9774e+06
 18.00,5.7083e+06,3864.6,2185.4,3523.6,3471.5,9.2968,4.9829e+06
 19.00,5.7019e+06,4094.7,2316.5,3752.5,3833.6,10.267,4.9884e+06
 20.00,5.6955e+06,4338,2455.2,3993.3,4219.1,11.299,4.9938e+06
 21.00,5.6891e+06,4595.1,2601.8,4247,4629.2,12.398,4.9993e+06
 22.00,5.6826e+06,4866.7,2756.7,4514.4,5065.3,13.565,5.0047e+06
 23.00,5.676e+06,5153.6,2920.5,4796.2,5528.6,14.807,5.0102e+06
 24.00,5.6694e+06,5456.7,3093.6,5093.5,6020.8,16.125,5.0156e+06
 25.00,5.6627e+06,5776.8,3276.5,5407.1,6543.3,17.525,5.021e+06
 26.00,5.656e+06,6114.7,3469.7,5737.9,7098,19.01,5.0264e+06
