time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.1486e+06,4934,4934,2467,6.591e+05,0,4.8829e+06
  1.00,5.1425e+06,6263,4696.6,3431.5,6.5937e+05,0.69123,4.8871e+06
  2.00,5.1365e+06,7323.7,4702,4278.1,6.5973e+05,1.5923,4.8914e+06
  3.00,5.1304e+06,8247.6,4862.9,5066.7,6.6017e+05,2.6832,4.8956e+06
  4.00,5.1243e+06,9114.5,5128.8,5834.8,6.6069e+05,3.9552,4.8998e+06
  5.00,5.1181e+06,9973.4,5470.5,6606.5,6.6128e+05,5.4065,4.9039e+06
  6.00,5.1118e+06,10855,5872,7398.3,6.6195e+05,7.0398,4.908e+06
  7.00,5.1053e+06,11781,6325,8222,6.6271e+05,8.8615,4.9119e+06
  8.00,5.0987e+06,12764,6825.8,9086.9,6.6354e+05,10.88,4.9158e+06
  9.00,5.0919e+06,13817,7373.6,10001,6.6447e+05,13.106,4.9197e+06
 10.00,5.0849e+06,14948,7969.4,10971,6.6548e+05,15.551,4.9234e+06
 11.00,5.0778e+06,16166,8615.2,12005,6.666e+05,18.231,4.927e+06
 12.00,5.0704e+06,17479,9314.1,13109,6.6783e+05,21.159,4.9305e+06
 13.00,5.0628e+06,18895,10070,14290,6.6916e+05,24.354,4.9339e+06
 14.00,5.0549e+06,20421,10886,15555,6.7062e+05,27.835,4.9372e+06
 15.00,5.0468e+06,22068,11767,16913,6.7221e+05,31.621,4.9403e+06
 16.00,5.0384e+06,23843,12718,18371,6.7394e+05,35.735,4.9433e+06
 17.00,5.0296e+06,25758,13744,19938,6.7583e+05,40.202,4.9461e+06
 18.00,5.0206e+06,27821,14851,21624,6.7787e+05,45.049,4.9487e+06
 19.00,5.0112e+06,30044,16045,23437,6.8009e+05,50.303,4.9512e+06
 20.00,5.0013e+06,32440,17333,25388,6.8249e+05,55.997,4.9534e+06
 21.00,4.9911e+06,35019,18720,27489,6.851e+05,62.163,4.9554e+06
 22.00,4.9804e+06,37796,20215,29752,6.8792e+05,68.838,4.9572e+06
 23.00,4.9692e+06,40784,21826,32188,6.9098e+05,76.061,4.9588e+06
 24.00,4.9575e+06,43998,23560,34811,6.9429e+05,83.873,4.9601e+06
 25.00,4.9453e+06,47454,25426,37635,6.9787e+05,92.321,4.961e+06
 26.00,4.9325e+06,51167,27434,40677,7.0174e+05,101.45,4.9617e+06
 27.00,4.919e+06,55156,29594,43951,7.0593e+05,111.32,4.9621e+06
 28.00,4.9048e+06,59438,31916,47475,7.1045e+05,121.98,4.962e+06
 29.00,4.8899e+06,64033,34411,51268,7.1534e+05,133.5,4.9616e+06
 30.00,4.8742e+06,68959,37091,55348,7.2062e+05,145.93,4.9608e+06
 31.00,4.8577e+06,74238,39967,59735,7.2632e+05,159.35,4.9596e+06
