time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,3.6097e+06,4934,4934,2467,6.591e+05,0,6.4218e+06
  1.00,3.6058e+06,5650.4,4643.8,3426.8,6.5937e+05,0.69095,6.4246e+06
  2.00,3.6018e+06,6182.8,4518.8,4245.3,6.5973e+05,1.5883,6.4274e+06
  3.00,3.5979e+06,6604,4497.7,4968.9,6.6016e+05,2.6648,6.4302e+06
  4.00,3.594e+06,6959.3,4542.9,5627.5,6.6067e+05,3.9021,6.4331e+06
  5.00,3.5901e+06,7276.8,4631,6240.5,6.6123e+05,5.2874,6.4359e+06
  6.00,3.5861e+06,7574,4747.6,6821.2,6.6186e+05,6.8118,6.4387e+06
  7.00,3.5822e+06,7861.7,4883.8,7378.6,6.6254e+05,8.4688,6.4414e+06
  8.00,3.5782e+06,8146.8,5034.2,7918.9,6.6327e+05,10.254,6.4442e+06
  9.00,3.5741e+06,8433.6,5195.5,8446.9,6.6406e+05,12.163,6.4469e+06
 10.00,3.5701e+06,8725,5365.6,8966.3,6.649e+05,14.195,6.4496e+06
 11.00,3.566e+06,9022.6,5543.5,9479.9,6.658e+05,16.347,6.4523e+06
 12.00,3.5619e+06,9327.8,5728.3,9990.1,6.6674e+05,18.619,6.455e+06
 13.00,3.5577e+06,9641.3,5919.9,10499,6.6774e+05,21.009,6.4576e+06
 14.00,3.5535e+06,9963.8,6118,11008,6.6878e+05,23.518,6.4602e+06
 15.00,3.5492e+06,10296,6322.6,11520,6.6988e+05,26.147,6.4628e+06
 16.00,3.5449e+06,10638,6533.8,12034,6.7102e+05,28.894,6.4654e+06
 17.00,3.5406e+06,10990,6751.6,12554,6.7222e+05,31.763,6.4679e+06
 18.00,3.5362e+06,11352,6976.1,13079,6.7347e+05,34.753,6.4704e+06
 19.00,3.5318e+06,11726,7207.6,13612,6.7478e+05,37.867,6.4728e+06
 20.00,3.5273e+06,12110,7446.1,14153,6.7613e+05,41.106,6.4753e+06
 21.00,3.5228e+06,12506,7691.8,14703,6.7754e+05,44.472,6.4776e+06
 22.00,3.5182e+06,12914,7945,15263,6.7901e+05,47.968,6.48e+06
 23.00,3.5136e+06,13334,8205.8,15834,6.8053e+05,51.596,6.4823e+06
