time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,2.5394e+06,4934,4934,2467,6.591e+05,0,7.4921e+06
  1.00,2.5369e+06,4990.9,4586.8,3421.7,6.5937e+05,0.69065,7.4941e+06
  2.00,2.5344e+06,4981.9,4323.1,4210.1,6.5973e+05,1.5839,7.4962e+06
  3.00,2.532e+06,4930.9,4115.3,4865,6.6016e+05,2.645,7.4983e+06
  4.00,2.5296e+06,4853.2,3945,5410.7,6.6064e+05,3.8458,7.5004e+06
  5.00,2.5272e+06,4759.1,3800.3,5865.3,6.6118e+05,5.1629,7.5025e+06
  6.00,2.5249e+06,4655.2,3673.1,6242.8,6.6176e+05,6.5769,7.5046e+06
  7.00,2.5225e+06,4545.9,3558.2,6554.2,6.6237e+05,8.0711,7.5067e+06
  8.00,2.5202e+06,4434.1,3452.2,6808.4,6.6301e+05,9.6311,7.5088e+06
  9.00,2.5179e+06,4321.6,3352.8,7012.7,6.6367e+05,11.244,7.5109e+06
 10.00,2.5157e+06,4209.6,3258.4,7173.4,6.6435e+05,12.9,7.513e+06
 11.00,2.5134e+06,4098.9,3168.1,7295.7,6.6505e+05,14.589,7.5151e+06
 12.00,2.5112e+06,3990,3081.1,7384.2,6.6575e+05,16.302,7.5172e+06
 13.00,2.509e+06,3883.1,2997,7442.9,6.6646e+05,18.033,7.5193e+06
 14.00,2.5068e+06,3778.5,2915.4,7475.2,6.6718e+05,19.774,7.5214e+06
 15.00,2.5046e+06,3676.2,2836.2,7484.4,6.679e+05,21.519,7.5235e+06
 16.00,2.5024e+06,3576.2,2759.2,7473.1,6.6862e+05,23.265,7.5257e+06
 17.00,2.5003e+06,3478.7,2684.2,7443.9,6.6934e+05,25.005,7.5278e+06
 18.00,2.4981e+06,3383.6,2611.2,7398.9,6.7005e+05,26.737,7.5299e+06
 19.00,2.496e+06,3290.8,2540.1,7340.2,6.7076e+05,28.457,7.532e+06
 20.00,2.4939e+06,3200.3,2470.7,7269.5,6.7146e+05,30.162,7.5341e+06
 21.00,2.4918e+06,3112.1,2403.2,7188.3,6.7215e+05,31.849,7.5362e+06
 22.00,2.4897e+06,3026.2,2337.4,7098.2,6.7284e+05,33.516,7.5383e+06
 23.00,2.4877e+06,2942.4,2273.2,7000.4,6.7351e+05,35.161,7.5404e+06
 24.00,2.4856e+06,2860.8,2210.7,6896,6.7418e+05,36.782,7.5425e+06
 25.00,2.4836e+06,2781.3,2149.8,6786.1,6.7483e+05,38.378,7.5446e+06
 26.00,2.4816e+06,2703.8,2090.4,6671.6,6.7548e+05,39.949,7.5468e+06
 27.00,2.4795e+06,2628.4,2032.6,6553.3,6.7611e+05,41.491,7.5489e+06
 28.00,2.4775e+06,2554.9,1976.3,6432,6.7673e+05,43.006,7.551e+06
 29.00,2.4755e+06,2483.3,1921.4,6308.2,6.7734e+05,44.493,7.5531e+06
 30.00,2.4736e+06,2413.6,1867.9,6182.7,6.7793e+05,45.95,7.5552e+06
 31.00,2.4716e+06,2345.7,1815.8,6055.9,6.7852e+05,47.378,7.5573e+06
 32.00,2.4696e+06,2279.6,1765,5928.3,6.7909e+05,48.776,7.5594e+06
 33.00,2.4677e+06,2215.2,1715.6,5800.2,6.7965e+05,50.145,7.5615e+06
 34.00,2.4657e+06,2152.6,1667.5,5672.2,6.8019e+05,51.483,7.5636e+06
 35.00,2.4638e+06,2091.6,1620.6,5544.4,6.8072e+05,52.792,7.5657e+06
 36.00,2.4619e+06,2032.2,1575,5417.2,6.8124e+05,54.07,7.5678e+06
 37.00,2.46e+06,1974.4,1530.5,5290.8,6.8175e+05,55.32,7.5699e+06
 38.00,2.4581e+06,1918.1,1487.2,5165.4,6.8224e+05,56.54,7.5721e+06
 39.00,2.4562e+06,1863.3,1445.1,5041.3,6.8272e+05,57.73,7.5742e+06
 40.00,2.4543e+06,1810,1404.1,4918.6,6.8319e+05,58.892,7.5763e+06
 41.00,2.4524e+06,1758.1,1364.2,4797.4,6.8365e+05,60.026,7.5784e+06
 42.00,2.4505e+06,1707.7,1325.3,4677.9,6.8409e+05,61.131,7.5805e+06
 43.00,2.4487e+06,1658.6,1287.5,4560.1,6.8453e+05,62.209,7.5826e+06
 44.00,2.4468e+06,1610.8,1250.7,4444.2,6.8495e+05,63.259,7.5847e+06
 45.00,2.445e+06,1564.3,1214.9,4330.2,6.8536e+05,64.283,7.5868e+06
 46.00,2.4432e+06,1519.1,1180,4218.3,6.8576e+05,65.28,7.5889e+06
 47.00,2.4413e+06,1475.1,1146.1,4108.3,6.8615e+05,66.252,7.591e+06
 48.00,2.4395e+06,1432.3,1113.1,4000.4,6.8652e+05,67.198,7.5931e+06
 49.00,2.4377e+06,1390.6,1081,3894.7,6.8689e+05,68.119,7.5952e+06
 50.00,2.4359e+06,1350.2,1049.7,3791.1,6.8724e+05,69.015,7.5973e+06
 51.00,2.4341e+06,1310.8,1019.4,3689.6,6.8759e+05,69.888,7.5994e+06
 52.00,2.4323e+06,1272.5,989.8,3590.2,6.8792e+05,70.737,7.6015e+06
 53.00,2.4305e+06,1235.3,961.05,3493,6.8825e+05,71.564,7.6036e+06
 54.00,2.4287e+06,1199.1,933.09,3398,6.8857e+05,72.368,7.6057e+06
 55.00,2.427e+06,1163.9,905.89,3305,6.8887e+05,73.15,7.6078e+06
 56.00,2.4252e+06,1129.6,879.44,3214.2,6.8917e+05,73.91,7.6099e+06
 57.00,2.4234e+06,1096.4,853.73,3125.6,6.8946e+05,74.65,7.6119e+06
 58.00,2.4217e+06,1064,828.72,3038.9,6.8974e+05,75.369,7.614e+06
 59.00,2.4199e+06,1032.6,804.4,2954.4,6.9001e+05,76.068,7.6161e+06
 60.00,2.4182e+06,1002,780.76,2871.9,6.9027e+05,76.748,7.6182e+06
 61.00,2.4165e+06,972.29,757.77,2791.4,6.9053e+05,77.408,7.6203e+06
 62.00,2.4147e+06,943.42,735.42,2712.8,6.9078e+05,78.051,7.6224e+06
 63.00,2.413e+06,915.36,713.7,2636.3,6.9101e+05,78.675,7.6245e+06
 64.00,2.4113e+06,888.09,692.59,2561.6,6.9125e+05,79.281,7.6266e+06
 65.00,2.4096e+06,861.59,672.06,2488.9,6.9147e+05,79.87,7.6287e+06
 66.00,2.4079e+06,835.84,652.12,2417.9,6.9169e+05,80.443,7.6307e+06
 67.00,2.4061e+06,810.82,632.73,2348.8,6.919e+05,80.999,7.6328e+06
 68.00,2.4044e+06,786.51,613.89,2281.5,6.921e+05,81.539,7.6349e+06
 69.00,2.4028e+06,762.89,595.58,2216,6.923e+05,82.063,7.637e+06
 70.00,2.4011e+06,739.95,577.79,2152.1,6.9249e+05,82.573,7.6391e+06
 71.00,2.3994e+06,717.66,560.5,2090,6.9267e+05,83.068,7.6411e+06
 72.00,2.3977e+06,696.02,543.71,2029.5,6.9285e+05,83.549,7.6432e+06
 73.00,2.396e+06,674.99,527.39,1970.5,6.9302e+05,84.015,7.6453e+06
 74.00,2.3943e+06,654.56,511.54,1913.2,6.9319e+05,84.468,7.6474e+06
 75.00,2.3927e+06,634.73,496.14,1857.4,6.9335e+05,84.908,7.6494e+06
 76.00,2.391e+06,615.46,481.18,1803.1,6.935e+05,85.335,7.6515e+06
 77.00,2.3893e+06,596.75,466.65,1750.3,6.9365e+05,85.75,7.6536e+06
 78.00,2.3877e+06,578.59,452.53,1698.9,6.938e+05,86.152,7.6556e+06
 79.00,2.386e+06,560.95,438.83,1649,6.9394e+05,86.543,7.6577e+06
 80.00,2.3844e+06,543.82,425.52,1600.3,6.9407e+05,86.922,7.6598e+06
 81.00,2.3827e+06,527.19,412.59,1553.1,6.942e+05,87.29,7.6618e+06
 82.00,2.3811e+06,511.04,400.03,1507.1,6.9432e+05,87.647,7.6639e+06
 83.00,2.3795e+06,495.37,387.84,1462.4,6.9445e+05,87.993,7.666e+06
 84.00,2.3778e+06,480.16,376.01,1419,6.9456e+05,88.329,7.668e+06
 85.00,2.3762e+06,465.39,364.51,1376.7,6.9467e+05,88.655,7.6701e+06
 86.00,2.3746e+06,451.05,353.36,1335.7,6.9478e+05,88.972,7.6722e+06
 87.00,2.373e+06,437.14,342.52,1295.8,6.9488e+05,89.279,7.6742e+06
 88.00,2.3713e+06,423.63,332.01,1257,6.9498e+05,89.576,7.6763e+06
 89.00,2.3697e+06,410.52,321.8,1219.3,6.9508e+05,89.865,7.6783e+06
 90.00,2.3681e+06,397.8,311.89,1182.7,6.9517e+05,90.146,7.6804e+06
 91.00,2.3665e+06,385.46,302.28,1147.1,6.9526e+05,90.417,7.6824e+06
 92.00,2.3649e+06,373.48,292.94,1112.5,6.9535e+05,90.681,7.6845e+06
 93.00,2.3633e+06,361.86,283.88,1078.9,6.9543e+05,90.937,7.6865e+06
 94.00,2.3617e+06,350.59,275.09,1046.3,6.9551e+05,91.184,7.6886e+06
 95.00,2.3601e+06,339.65,266.56,1014.6,6.9558e+05,91.425,7.6906e+06
 96.00,2.3585e+06,329.03,258.28,983.82,6.9565e+05,91.658,7.6927e+06
 97.00,2.3569e+06,318.74,250.25,953.92,6.9572e+05,91.884,7.6947e+06
 98.00,2.3553e+06,308.75,242.45,924.89,6.9579e+05,92.103,7.6968e+06
 99.00,2.3537e+06,299.06,234.89,896.69,6.9585e+05,92.316,7.6988e+06
100.00,2.3521e+06,289.66,227.55,869.31,6.9591e+05,92.522,7.7008e+06
101.00,2.3506e+06,280.54,220.44,842.72,6.9597e+05,92.722,7.7029e+06
102.00,2.349e+06,271.7,213.53,816.9,6.9602e+05,92.915,7.7049e+06
103.00,2.3474e+06,263.13,206.83,791.84,6.9608e+05,93.103,7.7069e+06
104.00,2.3458e+06,254.82,200.34,767.51,6.9613e+05,93.285,7.709e+06
105.00,2.3443e+06,246.75,194.04,743.89,6.9617e+05,93.461,7.711e+06
106.00,2.3427e+06,238.93,187.92,720.96,6.9622e+05,93.632,7.713e+06
107.00,2.3411e+06,231.35,182,698.71,6.9626e+05,93.798,7.7151e+06
108.00,2.3396e+06,224,176.25,677.11,6.963e+05,93.958,7.7171e+06
109.00,2.338e+06,216.87,170.67,656.15,6.9634e+05,94.114,7.7191e+06
110.00,2.3365e+06,209.96,165.27,635.81,6.9638e+05,94.264,7.7212e+06
111.00,2.3349e+06,203.27,160.03,616.06,6.9641e+05,94.41,7.7232e+06
112.00,2.3334e+06,196.77,154.94,596.91,6.9645e+05,94.552,7.7252e+06
113.00,2.3318e+06,190.48,150.02,578.32,6.9648e+05,94.689,7.7272e+06
114.00,2.3303e+06,184.38,145.24,560.28,6.9651e+05,94.822,7.7292e+06
115.00,2.3287e+06,178.46,140.61,542.79,6.9653e+05,94.95,7.7313e+06
116.00,2.3272e+06,172.73,136.12,525.81,6.9656e+05,95.075,7.7333e+06
117.00,2.3256e+06,167.18,131.77,509.34,6.9658e+05,95.196,7.7353e+06
118.00,2.3241e+06,161.79,127.55,493.37,6.9661e+05,95.313,7.7373e+06
119.00,2.3226e+06,156.58,123.46,477.87,6.9663e+05,95.426,7.7393e+06
120.00,2.321e+06,151.52,119.5,462.84,6.9665e+05,95.536,7.7413e+06
