time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,3.4218e+07,3,3,1,0,0,2.0531e+07
  1.00,3.4219e+07,9.7668,3.3537,1.6782,0.13181,0.0012477,2.053e+07
  2.00,3.4221e+07,17.531,4.7573,2.5163,0.33624,0.0031829,2.053e+07
  3.00,3.4222e+07,28.659,7.3264,3.7685,0.64155,0.0060731,2.0529e+07
  4.00,3.4223e+07,45.849,11.544,5.7416,1.1029,0.01044,2.0528e+07
  5.00,3.4224e+07,72.957,18.298,8.8834,1.8119,0.017152,2.0528e+07
  6.00,3.4225e+07,115.94,29.049,13.89,2.9154,0.027599,2.0527e+07
  7.00,3.4227e+07,184.18,46.135,21.861,4.6475,0.043995,2.0526e+07
  8.00,3.4228e+07,292.56,73.277,34.539,7.3797,0.069859,2.0526e+07
  9.00,3.4229e+07,464.71,116.39,54.695,11.702,0.11078,2.0525e+07
 10.00,3.423e+07,738.17,184.88,86.726,18.552,0.17562,2.0525e+07
 11.00,3.423e+07,1172.5,293.67,137.62,29.419,0.27849,2.0524e+07
 12.00,3.4231e+07,1862.5,466.48,218.48,46.667,0.44177,2.0523e+07
 13.00,3.4231e+07,2958.6,740.99,346.92,74.053,0.70102,2.0523e+07
 14.00,3.4229e+07,4699.5,1177,550.97,117.54,1.1127,2.0522e+07
 15.00,3.4227e+07,7464.7,1869.6,875.09,186.61,1.7666,2.0521e+07
 16.00,3.4222e+07,11856,2969.7,1389.9,296.32,2.8051,2.052e+07
 17.00,3.4214e+07,18830,4716.9,2207.7,470.58,4.4547,2.052e+07
 18.00,3.42e+07,29903,7491.5,3506.5,747.35,7.0748,2.0518e+07
 19.00,3.4178e+07,47476,11897,5569.2,1186.9,11.236,2.0517e+07
 20.00,3.4142e+07,75349,18888,8844.2,1885.1,17.845,2.0515e+07
 21.00,3.4083e+07,1.1952e+05,29978,14043,2993.7,28.34,2.0513e+07
 22.00,3.399e+07,1.8942e+05,47554,22290,4753.6,45,2.051e+07
 23.00,3.3841e+07,2.9977e+05,75370,35366,7546.6,71.44,2.0504e+07
 24.00,3.3607e+07,4.7334e+05,1.1929e+05,56069,11976,113.37,2.0497e+07
 25.00,3.3239e+07,7.4477e+05,1.884e+05,88786,18995,179.81,2.0485e+07
 26.00,3.2667e+07,1.1653e+06,2.9654e+05,1.4033e+05,30098,284.93,2.0466e+07
 27.00,3.1788e+07,1.8076e+06,4.6426e+05,2.2115e+05,47623,450.82,2.0438e+07
 28.00,3.0463e+07,2.7668e+06,7.2089e+05,3.4693e+05,75176,711.65,2.0394e+07
 29.00,2.8526e+07,4.1506e+06,1.1055e+06,5.4045e+05,1.1825e+05,1119.4,2.0326e+07
 30.00,2.5816e+07,6.0447e+06,1.6641e+06,8.3313e+05,1.8499e+05,1751.2,2.0224e+07
 31.00,2.2258e+07,8.4434e+06,2.4395e+06,1.2649e+06,2.871e+05,2717.8,2.0074e+07
 32.00,1.7979e+07,1.1157e+07,3.4492e+06,1.8798e+06,4.4044e+05,4169.4,1.986e+07
 33.00,1.3389e+07,1.3768e+07,4.6573e+06,2.7162e+06,6.6507e+05,6295.9,1.9569e+07
 34.00,9.0908e+06,1.5746e+07,5.9573e+06,3.7905e+06,9.8389e+05,9314,1.9193e+07
 35.00,5.6223e+06,1.6705e+07,7.1907e+06,5.0837e+06,1.4197e+06,13440,1.8737e+07
 36.00,3.2017e+06,1.6605e+07,8.2018e+06,6.5377e+06,1.9916e+06,18854,1.8215e+07
 37.00,1.7137e+06,1.5709e+07,8.8918e+06,8.0676e+06,2.7114e+06,25667,1.7654e+07
 38.00,8.8403e+05,1.4378e+07,9.238e+06,9.5814e+06,3.5818e+06,33908,1.7077e+07
 39.00,4.5066e+05,1.2901e+07,9.276e+06,1.0998e+07,4.5974e+06,43522,1.6508e+07
 40.00,2.3207e+05,1.1454e+07,9.07e+06,1.2257e+07,5.7452e+06,54389,1.5963e+07
 41.00,1.2296e+05,1.0116e+07,8.6888e+06,1.3322e+07,7.0077e+06,66342,1.5452e+07
 42.00,68080,8.9138e+06,8.1931e+06,1.4175e+07,8.3649e+06,79190,1.4983e+07
 43.00,39951,7.8488e+06,7.6316e+06,1.4813e+07,9.7954e+06,92734,1.4556e+07
 44.00,25170,6.9104e+06,7.0404e+06,1.5246e+07,1.1279e+07,1.0678e+05,1.417e+07
 45.00,17208,6.0851e+06,6.4457e+06,1.5489e+07,1.2795e+07,1.2113e+05,1.3826e+07
 46.00,12840,5.3597e+06,5.8651e+06,1.5561e+07,1.4327e+07,1.3564e+05,1.3518e+07
 47.00,10436,4.7218e+06,5.3104e+06,1.5484e+07,1.5858e+07,1.5014e+05,1.3245e+07
